Code;Libellé;Potentiel de consommation équivalent: P40 2022;Taux d'aide sociale 2025;Potentiel de consommation équivalent: P20 2022;Potentiel de consommation équivalent: P60 2022;Potentiel de consommation équivalent: P80 2022;Potentiel de consommation équivalent: médiane 2022;Emplois EPT, tous secteurs 2023;Emplois EPT dans le secteur primaire 2023;Emplois EPT dans le secteur secondaire 2023;Emplois EPT dans le secteur tertiaire 2023
5882;Chardonne;71000;1.1;53000;94700;139100;81700;519;65;19;435
5883;Corseaux;77500;2.24;52800;104000;155200;90800;339;13;46;280
5884;Corsier-sur-Vevey;49600;3.93;37900;65100;93500;55900;1595;24;624;947
5885;Jongny;74900;1.19;55600;92800;124900;83300;190;7;24;159
5886;Montreux;46900;6.17;35200;62800;95500;54400;10185;68;1007;9110
5889;La Tour-de-Peilz;54500;4.17;39700;72900;106700;62700;2859;26;193;2640
5890;Vevey;43900;5.77;34000;57000;80800;49800;11428;N/A - secret statistique;691;10734
5891;Veytaux;51300;7.7;37500;65500;90200;57300;198;N/A - secret statistique;40;155
5892;Blonay-St-Légier;73400;1.37;54400;98300;141600;85400;3776;62;666;3048
5902;Belmont-sur-Yverdon;59800;1.32;47400;70000;95200;64300;45;22;9;14
5903;Bioley-Magnoux;58000;2.08;46700;69000;84800;61800;28;15;N/A - secret statistique;10
5904;Chamblon;62300;1.58;48000;79300;101000;71500;179;0;14;165
5905;Champvent;53500;1.43;42900;63800;82400;59500;298;60;182;56
5907;Chavannes-le-Chêne;55700;0.49;41400;69200;86200;64900;36;8;11;17
5908;Chêne-Pâquier;56900;0.09;40900;66900;79100;62400;33;5;23;5
5909;Cheseaux-Noréaz;80800;0.44;65300;96800;134300;88800;213;18;N/A - secret statistique;193
5910;Cronay;57400;0.84;44100;67000;84500;61500;48;29;5;14
5911;Cuarny;61200;1.45;51300;72400;90400;68400;32;14;10;8
5912;Démoret;47000;0.61;37200;61600;88700;51500;48;18;15;15
5913;Donneloye;55900;2.73;40900;66900;83400;60500;119;37;47;36
5914;Ependes;50900;0.53;40400;64300;80000;58600;104;13;18;72
5919;Mathod;52700;2.42;44100;66900;83000;59400;146;39;27;80
5921;Molondin;50000;1.16;42000;61100;75000;53100;75;16;16;43
5922;Montagny-près-Yverdon;60300;1.47;48000;76900;99300;67300;1613;9;137;1467
5923;Oppens;56400;0.61;49400;69000;103200;59700;188;77;31;80
5924;Orges;53900;1.73;42900;69600;83600;61500;120;14;47;59
5925;Orzens;46900;2.93;37700;63500;77200;53500;45;11;21;14
5926;Pomy;60000;0.64;46100;75400;96000;66500;218;53;45;120
5928;Rovray;50900;0.22;37900;72800;82500;60000;32;22;8;N/A - secret statistique
5929;Suchy;61100;0.82;49000;76100;93100;67300;90;19;36;35
5930;Suscévaz;51000;2.08;38600;66500;87200;62800;22;14;N/A - secret statistique;7
5931;Treycovagnes;59600;0.94;43400;75100;94800;69200;61;N/A - secret statistique;30;27
5932;Ursins;57000;1.89;43900;66600;77300;60000;68;9;5;54
5933;Valeyres-sous-Montagny;57800;1.4;44400;73800;90800;63300;99;11;43;46
5934;Valeyres-sous-Ursins;55600;1.68;43900;75100;90700;68700;24;10;7;7
5935;Villars-Epeney;70000;4.76;60800;76600;113300;74600;4;N/A - secret statistique;N/A - secret statistique;N/A - secret statistique
5937;Vugelles-La Mothe;58600;2.42;39600;72400;94700;60100;16;6;5;5
5938;Yverdon-les-Bains;42600;6.19;33800;52800;70700;47200;17168;261;3000;13907
5939;Yvonand;51100;3.58;39500;64700;85600;57700;887;27;269;591
